Date/Time,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2012-03-01 00:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,00:00,-5.5,,-9.7,,72,,5.0,,24,,4.0,,100.97,,,,-13.0,,Snow
2012-03-01 01:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,01:00,-5.7,,-8.7,,79,,6.0,,26,,2.4,,100.87,,,,-13.0,,Snow
2012-03-01 02:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,02:00,-5.4,,-8.3,,80,,5.0,,28,,4.8,,100.8,,,,-13.0,,Snow
2012-03-01 03:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,03:00,-4.7,,-7.7,,79,,5.0,,28,,4.0,,100.69,,,,-12.0,,Snow
2012-03-01 04:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,04:00,-5.4,,-7.8,,83,,5.0,,35,,1.6,,100.62,,,,-14.0,,Snow
2012-03-01 05:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,05:00,-5.3,,-7.9,,82,,4.0,,33,,2.4,,100.58,,,,-14.0,,Snow
2012-03-01 06:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,06:00,-5.2,,-7.8,,82,,5.0,,33,,4.0,,100.57,,,,-14.0,,Snow
2012-03-01 07:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,07:00,-4.9,,-7.4,,83,,5.0,,30,,1.6,,100.59,,,,-13.0,,Snow
2012-03-01 08:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,08:00,-5.0,,-7.5,,83,,5.0,,32,,1.2,,100.59,,,,-13.0,,Snow
2012-03-01 09:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,09:00,-4.9,,-7.5,,82,,5.0,,32,,1.6,,100.6,,,,-13.0,,Snow
2012-03-01 10:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,10:00,-4.7,,-7.3,,82,,5.0,,32,,1.2,,100.62,,,,-13.0,,Snow
2012-03-01 11:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,11:00,-4.4,,-6.8,,83,,5.0,,28,,1.0,,100.66,,,,-12.0,,Snow
2012-03-01 12:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,12:00,-4.3,,-6.8,,83,,5.0,,30,,1.2,,100.66,,,,-12.0,,Snow
2012-03-01 13:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,13:00,-4.3,,-6.9,,82,,6.0,,28,,1.2,,100.65,,,,-12.0,,Snow
2012-03-01 14:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,14:00,-3.9,,-6.6,,81,,6.0,,28,,1.2,,100.67,,,,-11.0,,Snow
2012-03-01 15:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,15:00,-3.3,,-6.2,,80,,6.0,,24,,1.6,,100.71,,,,-10.0,,Snow
2012-03-01 16:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,16:00,-2.7,,-5.7,,80,,7.0,,19,,2.4,,100.74,,,,-8.0,,Snow
2012-03-01 17:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,17:00,-2.9,,-5.9,,80,,5.0,,20,,4.0,,100.8,,,,-9.0,,Snow
2012-03-01 18:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,18:00,-3.0,,-6.0,,80,,6.0,,19,,4.0,,100.87,,,,-9.0,,Snow
2012-03-01 19:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,19:00,-3.6,,-6.4,,81,,6.0,,17,,3.2,,100.93,,,,-9.0,,Snow
2012-03-01 20:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,20:00,-3.7,,-6.4,,81,,6.0,,20,,4.8,,100.95,,,,-10.0,,Snow
2012-03-01 21:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,21:00,-3.9,,-6.7,,81,,5.0,,22,,6.4,,100.98,,,,-10.0,,Snow
2012-03-01 22:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,22:00,-4.3,,-6.9,,82,,5.0,,22,,2.4,,101.0,,,,-11.0,,Snow
2012-03-01 23:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,1,23:00,-4.3,,-7.1,,81,,5.0,,22,,4.8,,101.04,,,,-11.0,,Snow
2012-03-02 00:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,00:00,-4.8,,-7.3,,83,,4.0,,22,,3.2,,101.04,,,,-12.0,,Snow
2012-03-02 01:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,01:00,-5.3,,-7.9,,82,,5.0,,20,,4.8,,101.09,,,,-12.0,,Snow
2012-03-02 02:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,02:00,-5.2,,-7.8,,82,,4.0,,19,,6.4,,101.11,,,,-12.0,,Snow
2012-03-02 03:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,03:00,-5.5,,-7.9,,83,,4.0,,19,,4.8,,101.15,,,,-12.0,,Snow
2012-03-02 04:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,04:00,-5.6,,-8.2,,82,,5.0,,24,,6.4,,101.15,,,,-13.0,,Snow
2012-03-02 05:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,05:00,-5.5,,-8.3,,81,,4.0,,19,,12.9,,101.15,,,,-12.0,,Snow
2012-03-02 06:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,06:00,-5.6,,-8.6,,79,,3.0,,19,,16.1,,101.14,,,,-12.0,,Snow
2012-03-02 07:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,07:00,-5.7,,-8.7,,79,,3.0,,22,,24.1,,101.17,,,,-13.0,,Cloudy
2012-03-02 08:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,08:00,-5.7,,-8.8,,79,,3.0,,17,,24.1,,101.2,,,,-12.0,,Snow
2012-03-02 09:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,09:00,-6.1,,-8.4,,84,,2.0,,13,,2.0,,101.19,,,,-11.0,,Snow
2012-03-02 10:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,10:00,-5.9,,-8.3,,83,,1.0,,15,,4.0,,101.22,,,,-12.0,,Snow
2012-03-02 11:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,11:00,-5.5,,-7.5,,86,,2.0,,15,,2.8,,101.21,,,,-11.0,,Snow
2012-03-02 12:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,12:00,-5.2,,-7.1,,86,,3.0,,13,,2.4,,101.18,,,,-10.0,,"Freezing Drizzle,Snow"
2012-03-02 13:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,13:00,-4.6,,-6.5,,87,,3.0,,13,,4.8,,101.09,,,,-10.0,,Snow
2012-03-02 14:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,14:00,-4.1,,-6.1,,86,,3.0,,15,,8.0,,101.03,,,,-9.0,,Fog
2012-03-02 15:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,15:00,-3.3,,-5.7,,83,,3.0,,15,,11.3,,100.98,,,,-8.0,,Cloudy
2012-03-02 16:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,16:00,-2.9,,-5.3,,83,,3.0,,15,,11.3,,100.93,,,,-8.0,,Cloudy
2012-03-02 17:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,17:00,-2.7,,-5.1,,84,,2.0,,15,,12.9,,100.89,,,,-8.0,,Cloudy
2012-03-02 18:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,18:00,-2.4,,-4.8,,84,,4.0,,20,,12.9,,100.81,,,,-8.0,,Cloudy
2012-03-02 19:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,19:00,-1.8,,-4.2,,84,,3.0,,17,,16.1,,100.75,,,,-7.0,,Cloudy
2012-03-02 20:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,20:00,-2.3,,-4.7,,84,,3.0,,15,,16.1,,100.74,,,,-7.0,,Cloudy
2012-03-02 21:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,21:00,-1.4,,-4.0,,82,,4.0,,15,,19.3,,100.62,,,,-6.0,,Cloudy
2012-03-02 22:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,22:00,0.2,,-4.2,,72,,11.0,,13,,25.0,,100.49,,,,,,Cloudy
2012-03-02 23:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,2,23:00,0.5,,-3.6,,74,,13.0,,17,,25.0,,100.29,,,,,,Cloudy
2012-03-03 00:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,00:00,1.0,,-3.2,,73,,13.0,,22,,25.0,,100.12,,,,,,Cloudy
2012-03-03 01:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,01:00,1.2,,-2.8,,75,,12.0,,19,,25.0,,99.96,,,,,,Snow
2012-03-03 02:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,02:00,-0.6,,-2.9,,84,,9.0,,19,,2.4,,99.75,,,,-6.0,,Snow
2012-03-03 03:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,03:00,-0.3,,-2.4,,86,,10.0,,22,,2.8,,99.55,,,,-6.0,,Snow
2012-03-03 04:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,04:00,0.3,,-1.7,,86,,12.0,,24,,11.3,,99.4,,,,,,"Snow,Ice Pellets"
2012-03-03 05:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,05:00,0.8,,-1.5,,85,,13.0,,41,,19.3,,99.18,,,,,,Cloudy
2012-03-03 06:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,06:00,1.5,,-1.6,,80,,14.0,,43,,25.0,,99.02,,,,,,Mainly Clear
2012-03-03 07:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,07:00,2.0,,-1.6,,77,,15.0,,41,,24.1,,98.89,,,,,,Mostly Cloudy
2012-03-03 08:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,08:00,2.7,,-1.5,,74,,15.0,,32,,24.1,,98.79,,,,,,Mostly Cloudy
